player_id,talent_score,count,average_talent_score,normalized_talent_score,classification,trend,id,name,club_id,new_id
555074,45086.8,28,1610.2428571428572,21,ASPIRING,On the Rise,555074,Oliwier Zych,12124,5bab279e
555143,422361.0,22,19198.227272727272,35,ASPIRING,Declining,555143,Arsen Zakharyan,681,70ed153b
556385,1198500.0,26,46096.153846153844,55,EXPERIENCED,Steady,556385,Destiny Udogie,148,dfb89137
559172,18788.0,16,1174.25,21,ASPIRING,On the Rise,559172,Jayden Fevrier,1098,ab54e426
559263,432167.0,29,14902.310344827587,31,ASPIRING,On the Rise,559263,Fábio Carvalho,1148,0bda0239
559328,292915.0,23,12735.434782608696,30,ASPIRING,On the Rise,559328,Emanuel Emegha,667,a4673cf2
559330,18321.0,18,1017.8333333333334,21,ASPIRING,On the Rise,559330,Salah-Eddine Oulad M'Hand,9249,465e4e05
564529,524083.0,33,15881.30303030303,32,ASPIRING,On the Rise,564529,Victor Kristiansen,1003,34752c99
564674,14291.2,16,893.2,21,ASPIRING,On the Rise,564674,Matty Carson,1218,0af62956
564792,14917.0,24,621.5416666666666,20,ASPIRING,Declining,564792,Giovanni Garofani,33734,e5a890bc
565822,1429470.0,40,35736.75,47,EXPERIENCED,Steady,565822,Harvey Elliott,31,ebdd8cf8
565846,17857.0,22,811.6818181818181,21,ASPIRING,Declining,565846,Imari Samuels,1237,0375e84c
566677,23472.9,20,1173.645,21,ASPIRING,On the Rise,566677,Nelson Abbey,2288,74a46e9c
566799,629597.0,33,19078.696969696968,35,ASPIRING,Steady,566799,James Trafford,1132,e7e226a8
566927,25018.0,18,1389.888888888889,21,ASPIRING,Declining,566927,Giovanni Corradini,1103,ef36b9c6
566936,21878.0,22,994.4545454545455,21,ASPIRING,On the Rise,566936,Antonio Cioffi,4111,83613cd3
567114,17296.0,14,1235.4285714285713,21,ASPIRING,Declining,567114,Liam Morrison,1039,2a3c12da
567444,26947.0,14,1924.7857142857142,21,ASPIRING,Steady,567444,Emanuel Ercolano,22045,c906b676
567453,25498.0,28,910.6428571428571,21,ASPIRING,Steady,567453,Gabriele Mulazzi,41101,a4b300eb
567454,24752.0,12,2062.6666666666665,22,ASPIRING,Declining,567454,Lorenzo Lucchesi,607,bff629c3
567456,14310.0,20,715.5,21,ASPIRING,Declining,567456,Andrea Bonetti,24898,b33ef119
567462,15168.0,16,948.0,21,ASPIRING,On the Rise,567462,Luca Magazzú,2250,9b62cc0e
567465,54129.0,27,2004.7777777777778,22,ASPIRING,Declining,567465,Sebastiano Desplanches,458,555a062c
567466,17179.0,18,954.3888888888889,21,ASPIRING,Declining,567466,Alessandro Citi,41101,a38102e1
567470,64594.0,31,2083.6774193548385,22,ASPIRING,On the Rise,567470,Samuel Giovane,4159,dd3aebf9
567472,62318.0,24,2596.5833333333335,22,ASPIRING,Declining,567472,Federico Zuccon,5587,539c26bc
567473,13650.0,19,718.421052631579,21,ASPIRING,Declining,567473,Alessio Rosa,26251,5c2a3cb3
567475,36564.0,19,1924.421052631579,21,ASPIRING,Declining,567475,Andrea Ceresoli,4097,9c2aa0c3
567476,25411.0,18,1411.7222222222222,21,ASPIRING,Declining,567476,Gabriele Berto,41110,3f37647d
567478,12234.0,12,1019.5,21,ASPIRING,Declining,567478,Davide Acampa,22408,685cef3f
567576,421149.0,27,15598.111111111111,32,ASPIRING,Steady,567576,Elliot Anderson,703,b459e1b6
567597,18851.0,22,856.8636363636364,21,ASPIRING,Declining,567597,Odel Offiah,1237,b521a022
568157,859383.0,28,30692.25,44,EXPERIENCED,Steady,568157,Yéremy Pino,1050,621b7be5
568693,1232820.0,27,45660.0,55,EXPERIENCED,On the Rise,568693,Pape Matar Sarr,148,d256b22a
569032,13204.0,10,1320.4,21,ASPIRING,Declining,569032,Florian Bähr,72,f0ee0c2f
569579,30545.0,14,2181.785714285714,22,ASPIRING,Declining,569579,Alessandro Tozzuolo,4326,8bb7c33e
570458,32565.0,20,1628.25,21,ASPIRING,On the Rise,570458,Jake Garrett,2455,71561ec1
570466,110457.0,30,3681.9,23,ASPIRING,Steady,570466,Mateusz Legowski,380,ffe610ba
570864,26628.0,23,1157.7391304347825,21,ASPIRING,On the Rise,570864,Tony Springett,1123,5c357e65
635521,596.2,2,298.1,20,ASPIRING,N/A,635521,Pablo Barredo,4032,177131b4
636385,14909.0,12,1242.4166666666667,21,ASPIRING,On the Rise,636385,Yeremay Hernández,897,b0b25622
636398,4591.0,5,918.2,21,ASPIRING,Declining,636398,Xabi Dominguez,5650,bff12355
636530,5914.0,5,1182.8,21,ASPIRING,Declining,636530,Jota López,8568,fb2fca22
636685,1211.0,5,242.2,20,ASPIRING,On the Rise,636685,Raúl García-Alejo,21322,b7ed04e0
636686,5470.0,6,911.6666666666666,21,ASPIRING,On the Rise,636686,Arnau Rafús,7078,fa3b20ed
636687,5190.900000000001,8,648.8625000000001,20,ASPIRING,On the Rise,636687,Diego Almeida,13240,51932dce
636688,1209764.6,27,44806.0962962963,54,EXPERIENCED,Steady,636688,Alejandro Balde,131,af0cc9b0
636693,10445.0,5,2089.0,22,ASPIRING,On the Rise,636693,David Navarro,11596,6c47616c
636695,55277.200000000004,15,3685.146666666667,23,ASPIRING,Steady,636695,Marc Casadó,131,a1f4feb4
636697,11308.0,6,1884.6666666666667,21,ASPIRING,Declining,636697,Arnau Solà,11972,0ecad6c7
636701,7123.0,9,791.4444444444445,21,ASPIRING,Declining,636701,Juanda Fuentes,10718,8117b0e2
636703,402249.0,13,30942.23076923077,44,EXPERIENCED,Declining,636703,Fermín López,131,14f34861
636898,25749.9,18,1430.5500000000002,21,ASPIRING,Declining,636898,Lucas Copado,25,ed48074e
637919,7466.8,6,1244.4666666666667,21,ASPIRING,On the Rise,637919,Oguzcan Büyükarslan,1006,549ee2c5
638490,1757.0,6,292.8333333333333,20,ASPIRING,Declining,638490,Brayan Ademán,10980,002d8a5a
638631,16408.0,18,911.5555555555555,21,ASPIRING,On the Rise,638631,Elijah Krahn,1,65d88761
638964,13171.0,19,693.2105263157895,21,ASPIRING,Declining,638964,Nathan Butler-Oyedeji,9249,10b83939
639237,14113.0,11,1283.0,21,ASPIRING,Declining,639237,Vedat Tunc,1328,7998dad3
639238,14112.0,10,1411.2,21,ASPIRING,Declining,639238,Mika Eickhoff,139,f7526b86
639476,8107.0,8,1013.375,21,ASPIRING,On the Rise,639476,Etienne Sohn,1171,93c69e3f
639577,14920.0,12,1243.3333333333333,21,ASPIRING,Declining,639577,Jannic Ehlers,87,7824cc08
639580,18180.800000000003,16,1136.3000000000002,21,ASPIRING,Declining,639580,Justin Janitzek,108,2dd74df7
639691,22798.600000000002,13,1753.7384615384617,21,ASPIRING,On the Rise,639691,Ricky Maset,46196,291dead7
639733,57688.0,15,3845.866666666667,23,ASPIRING,On the Rise,639733,Peque Fernández,368,2dcad11b
639756,9844.0,11,894.9090909090909,21,ASPIRING,Declining,639756,Joyce Luyeye-Nkula,373,1d84138d
640245,37140.0,28,1326.4285714285713,21,ASPIRING,On the Rise,640245,Will Fish,603,54160eca
640428,3834358.0,38,100904.15789473684,98,TOP,Steady,640428,Eduardo Camavinga,418,b163f370
640544,12193.0,13,937.9230769230769,21,ASPIRING,Declining,640544,Andrea D'Aniello,10118,5e7e3968
640556,113445.20000000001,22,5156.6,24,ASPIRING,On the Rise,640556,Rav van den Berg,641,23c92aff
641537,385133.0,24,16047.208333333334,32,ASPIRING,Steady,641537,Tommaso Baldanzi,12,1c2e0955
641549,15715.0,12,1309.5833333333333,21,ASPIRING,Declining,641549,Manuel Chietti,22408,ffcba6b7
641553,22580.0,16,1411.25,21,ASPIRING,Declining,641553,Alessio Rizza,4084,d7aa1ed1
641555,13206.600000000002,16,825.4125000000001,21,ASPIRING,Declining,641555,Matteo Morelli,27568,69fe10ba
641556,10791.0,14,770.7857142857143,21,ASPIRING,Declining,641556,Francesco Nunziatini,2253,95b55e34
641676,19203.8,23,834.9478260869565,21,ASPIRING,On the Rise,641676,Adam Griger,21550,1c1546f9
644156,16406.0,18,911.4444444444445,21,ASPIRING,On the Rise,644156,Luca Lombardi,46337,f668f107
644557,9716.0,12,809.6666666666666,21,ASPIRING,Declining,644557,Willi Reincke,10213,e6ea0f94
644559,2514.0,5,502.8,20,ASPIRING,On the Rise,644559,Liam Tiernan,166,6f8e6750
645686,32114.500000000004,25,1284.5800000000002,21,ASPIRING,On the Rise,645686,Lamare Bogarde,405,30436140
646210,15761.0,13,1212.3846153846155,21,ASPIRING,On the Rise,646210,Fin Back,38588,356b1b50
646214,15939.0,20,796.95,21,ASPIRING,Declining,646214,Oliver Hammond,1078,3a169ca8
646658,457312.0,29,15769.379310344828,32,ASPIRING,Declining,646658,Aaron Ramsey,1132,36ea6333
646698,32376.0,16,2023.5,22,ASPIRING,Declining,646698,Gabriel Misehouy,12321,833c836e
646701,16232.7,15,1082.18,21,ASPIRING,Declining,646701,Prince Aning,17,ec22ef4c
646710,15485.800000000001,17,910.929411764706,21,ASPIRING,Declining,646710,Sil Swinkels,12124,377925ea
646727,43359.0,19,2282.0526315789475,22,ASPIRING,Declining,646727,Josh Coburn,641,a346f382
646734,13918.8,12,1159.8999999999999,21,ASPIRING,On the Rise,646734,Tomás Mendes,8880,11365075
646735,17837.600000000002,11,1621.6000000000001,21,ASPIRING,Declining,646735,Aitor Gismera,3679,64b42924
646739,6724.3,11,611.3000000000001,20,ASPIRING,On the Rise,646739,Ángel Alarcón,2464,8e280e73
646740,2597643.4000000004,26,99909.36153846156,97,TOP,Steady,646740,Gavi,131,88aea64f
646741,7252.300000000001,11,659.3000000000001,21,ASPIRING,Declining,646741,César Fernández,8733,d28dd604
646743,1973.4,2,986.7,21,ASPIRING,N/A,646743,Javi Navarro,6182,4fc2a73a
646744,12750.0,9,1416.6666666666667,21,ASPIRING,On the Rise,646744,Carlos Alemán,21550,e2b35e57
646745,12962.400000000001,13,997.1076923076924,21,ASPIRING,On the Rise,646745,Edgar Pujol,6767,82928a28
646746,26257.0,18,1458.7222222222222,21,ASPIRING,On the Rise,646746,Roger Martínez,11000,d43de1be
646747,18547.100000000002,13,1426.7000000000003,21,ASPIRING,On the Rise,646747,Rafa Obrador,897,8ee20275
646748,2095.2,3,698.4,21,ASPIRING,On the Rise,646748,Sergio Bernárdez,13227,973ec8dc
646750,575473.8,17,33851.4,46,EXPERIENCED,On the Rise,646750,Cristhian Mosquera,1049,54a47f91
646823,1634.6000000000001,3,544.8666666666667,20,ASPIRING,On the Rise,646823,Mario Camero,41403,555d82f4
646824,20300.5,14,1450.0357142857142,21,ASPIRING,On the Rise,646824,Manuel Ángel,6767,4cb708e2
646825,6758.400000000001,7,965.4857142857144,21,ASPIRING,On the Rise,646825,Julen Jon Guerrero,8880,470e8171
646826,722.7,2,361.35,20,ASPIRING,On the Rise,646826,David Pecellín,12605,cef84c72
646973,13228.0,4,3307.0,23,ASPIRING,On the Rise,646973,George Langston,6340,ad718ebd
646974,15402.0,14,1100.142857142857,21,ASPIRING,On the Rise,646974,Sonny Blu Lo-Everton,972,b7ea4f6f
647733,4765.200000000001,11,433.20000000000005,20,ASPIRING,On the Rise,647733,Abdoul Camara,4690,033a7b57
648030,6541.700000000001,16,408.85625000000005,20,ASPIRING,On the Rise,648030,Aaron Maguire,9254,a59d97aa
648032,18272.100000000002,21,870.1000000000001,21,ASPIRING,Declining,648032,James Abankwah,10959,0faa1faf
648041,11056.8,14,789.7714285714285,21,ASPIRING,On the Rise,648041,Jamie Mullins,39336,0691ba80
648046,1699254.0,28,60687.642857142855,67,TALENTED,Steady,648046,Evan Ferguson,1237,b00a024a
648049,10454.4,7,1493.4857142857143,21,ASPIRING,Steady,648049,Ben Quinn,3820,04e1fc2f
648908,177.10000000000002,4,44.275000000000006,20,ASPIRING,On the Rise,648908,Eric Gómez,24445,38b4e1c9
648909,10934.000000000002,9,1214.8888888888891,21,ASPIRING,On the Rise,648909,Fabio Blanco,11972,23f957da
649317,542127.3,24,22588.6375,37,ASPIRING,Steady,649317,Jhon Durán,405,8b2683c6
649966,3918.2000000000003,2,1959.1000000000001,22,ASPIRING,N/A,649966,Abraham Nobrega,92878,a9d501b1
650224,39065.0,21,1860.2380952380952,21,ASPIRING,On the Rise,650224,Christos Kourfalidis,4031,d4d4213f
650248,14504.0,15,966.9333333333333,21,ASPIRING,Declining,650248,Luca Schirone,46337,e9295f5f
650249,48575.0,28,1734.8214285714287,21,ASPIRING,Declining,650249,Riccardo Turicchia,4097,6d667f8d
650251,16883.9,10,1688.39,21,ASPIRING,Declining,650251,Orgito Kuqi,46293,d5316ba7
650255,28352.0,18,1575.111111111111,21,ASPIRING,On the Rise,650255,Lorenzo Di Stefano,1385,db6721ad
650256,30307.0,20,1515.35,21,ASPIRING,Declining,650256,Paolo Vismara,1038,e3d14470
650883,14107.0,15,940.4666666666667,21,ASPIRING,Declining,650883,Zak Gilsenan,9258,cc8373c5
650944,85309.0,14,6093.5,25,ASPIRING,Declining,650944,Amankwah Forson,1123,0ce9130f
